name,source,jam_size,code_size,compile_ok
add,tests/fixtures/wat/add.jam.wat,160,96,1
fibonacci,tests/fixtures/wat/fibonacci.jam.wat,221,144,1
factorial,tests/fixtures/wat/factorial.jam.wat,200,126,1
is-prime,tests/fixtures/wat/is-prime.jam.wat,271,189,1
regalloc-two-loops,tests/fixtures/wat/regalloc-two-loops.jam.wat,561,438,1
blake2b,tests/fixtures/wat/blake2b.jam.wat,3765,2486,1
sha512,tests/fixtures/wat/sha512.jam.wat,3511,2310,1
u128-mul-bench,tests/fixtures/wat/u128-mul-bench.jam.wat,457,342,1
u128-div-bench,tests/fixtures/wat/u128-div-bench.jam.wat,765,606,1
u128-div-bench-slow,tests/fixtures/wat/u128-div-bench-slow.jam.wat,771,607,1
host-call-log,tests/fixtures/wat/host-call-log.jam.wat,458,104,1
memory-copy-word,tests/fixtures/wat/memory-copy-word.jam.wat,2243,1935,1
memory-copy-overlap,tests/fixtures/wat/memory-copy-overlap.jam.wat,715,574,1
aslan-fib,tests/fixtures/wat/aslan-fib.jam.wat,19831,12186,1
aslan-ecalli,tests/fixtures/wat/aslan-ecalli.jam.wat,42350,27349,1
aslan-debug,tests/fixtures/external/aslan-debug.wasm,32365,23740,1
anan-as-compiler,vendor/anan-as/dist/build/compiler.wasm,109283,76239,1
polkadot-asset-hub-kusama_runtime-v2002002,examples/polkadot/wasm/asset-hub-kusama_runtime-v2002002.wasm,30804229,25381070,1
polkadot-asset-hub-polkadot_runtime-v2002002,examples/polkadot/wasm/asset-hub-polkadot_runtime-v2002002.wasm,29435038,24209513,1
polkadot-bridge-hub-kusama_runtime-v2002002,examples/polkadot/wasm/bridge-hub-kusama_runtime-v2002002.wasm,13486226,10536668,1
polkadot-bridge-hub-polkadot_runtime-v2002002,examples/polkadot/wasm/bridge-hub-polkadot_runtime-v2002002.wasm,16129160,12830602,1
polkadot-bulletin-polkadot_runtime-v2002002,examples/polkadot/wasm/bulletin-polkadot_runtime-v2002002.wasm,12017852,9295201,1
polkadot-collectives-polkadot_runtime-v2002002,examples/polkadot/wasm/collectives-polkadot_runtime-v2002002.wasm,15293994,12084722,1
polkadot-coretime-kusama_runtime-v2002002,examples/polkadot/wasm/coretime-kusama_runtime-v2002002.wasm,13011883,10128873,1
polkadot-coretime-polkadot_runtime-v2002002,examples/polkadot/wasm/coretime-polkadot_runtime-v2002002.wasm,13009179,10126518,1
polkadot-encointer-kusama_runtime-v2002002,examples/polkadot/wasm/encointer-kusama_runtime-v2002002.wasm,15729251,12485285,1
polkadot-glutton-kusama_runtime-v2002002,examples/polkadot/wasm/glutton-kusama_runtime-v2002002.wasm,6402647,4600277,1
polkadot-kusama_runtime-v2002002,examples/polkadot/wasm/kusama_runtime-v2002002.wasm,22066440,17832758,1
polkadot-people-kusama_runtime-v2002002,examples/polkadot/wasm/people-kusama_runtime-v2002002.wasm,13021874,10141578,1
polkadot-people-polkadot_runtime-v2002002,examples/polkadot/wasm/people-polkadot_runtime-v2002002.wasm,14291805,11226838,1
polkadot-polkadot_runtime-v2002002,examples/polkadot/wasm/polkadot_runtime-v2002002.wasm,20909440,16847956,1
