flag,input,baseline_jam,delta_jam,baseline_code,delta_code,compile_ok
--no-llvm-passes,add,160,NA,96,NA,0
--no-llvm-passes,fibonacci,221,NA,144,NA,0
--no-llvm-passes,factorial,200,NA,126,NA,0
--no-llvm-passes,is-prime,271,NA,189,NA,0
--no-llvm-passes,regalloc-two-loops,561,NA,438,NA,0
--no-llvm-passes,blake2b,3765,NA,2486,NA,0
--no-llvm-passes,sha512,3511,NA,2310,NA,0
--no-llvm-passes,u128-mul-bench,457,NA,342,NA,0
--no-llvm-passes,u128-div-bench,765,NA,606,NA,0
--no-llvm-passes,u128-div-bench-slow,771,NA,607,NA,0
--no-llvm-passes,host-call-log,458,NA,104,NA,0
--no-llvm-passes,memory-copy-word,2243,NA,1935,NA,0
--no-llvm-passes,memory-copy-overlap,715,NA,574,NA,0
--no-llvm-passes,aslan-fib,19831,NA,12186,NA,0
--no-llvm-passes,aslan-ecalli,42350,NA,27349,NA,0
--no-llvm-passes,aslan-debug,32365,NA,23740,NA,0
--no-llvm-passes,anan-as-compiler,109283,NA,76239,NA,0
--no-llvm-passes,polkadot-asset-hub-kusama_runtime-v2002002,30804229,NA,25381070,NA,0
--no-llvm-passes,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,NA,24209513,NA,0
--no-llvm-passes,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,NA,10536668,NA,0
--no-llvm-passes,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,NA,12830602,NA,0
--no-llvm-passes,polkadot-bulletin-polkadot_runtime-v2002002,12017852,NA,9295201,NA,0
--no-llvm-passes,polkadot-collectives-polkadot_runtime-v2002002,15293994,NA,12084722,NA,0
--no-llvm-passes,polkadot-coretime-kusama_runtime-v2002002,13011883,NA,10128873,NA,0
--no-llvm-passes,polkadot-coretime-polkadot_runtime-v2002002,13009179,NA,10126518,NA,0
--no-llvm-passes,polkadot-encointer-kusama_runtime-v2002002,15729251,NA,12485285,NA,0
--no-llvm-passes,polkadot-glutton-kusama_runtime-v2002002,6402647,NA,4600277,NA,0
--no-llvm-passes,polkadot-kusama_runtime-v2002002,22066440,NA,17832758,NA,0
--no-llvm-passes,polkadot-people-kusama_runtime-v2002002,13021874,NA,10141578,NA,0
--no-llvm-passes,polkadot-people-polkadot_runtime-v2002002,14291805,NA,11226838,NA,0
--no-llvm-passes,polkadot-polkadot_runtime-v2002002,20909440,NA,16847956,NA,0
--no-peephole,add,160,0,96,0,1
--no-peephole,fibonacci,221,0,144,0,1
--no-peephole,factorial,200,0,126,0,1
--no-peephole,is-prime,271,0,189,0,1
--no-peephole,regalloc-two-loops,561,0,438,0,1
--no-peephole,blake2b,3765,0,2486,0,1
--no-peephole,sha512,3511,1,2310,1,1
--no-peephole,u128-mul-bench,457,0,342,0,1
--no-peephole,u128-div-bench,765,0,606,0,1
--no-peephole,u128-div-bench-slow,771,0,607,0,1
--no-peephole,host-call-log,458,0,104,0,1
--no-peephole,memory-copy-word,2243,0,1935,0,1
--no-peephole,memory-copy-overlap,715,0,574,0,1
--no-peephole,aslan-fib,19831,1,12186,1,1
--no-peephole,aslan-ecalli,42350,1,27349,1,1
--no-peephole,aslan-debug,32365,7,23740,6,1
--no-peephole,anan-as-compiler,109283,9,76239,8,1
--no-peephole,polkadot-asset-hub-kusama_runtime-v2002002,30804229,36535,25381070,32475,1
--no-peephole,polkadot-asset-hub-polkadot_runtime-v2002002,29435038,35409,24209513,31475,1
--no-peephole,polkadot-bridge-hub-kusama_runtime-v2002002,13486226,13737,10536668,12211,1
--no-peephole,polkadot-bridge-hub-polkadot_runtime-v2002002,16129160,15195,12830602,13507,1
--no-peephole,polkadot-bulletin-polkadot_runtime-v2002002,12017852,11827,9295201,10513,1
--no-peephole,polkadot-collectives-polkadot_runtime-v2002002,15293994,17618,12084722,15661,1
--no-peephole,polkadot-coretime-kusama_runtime-v2002002,13011883,13471,10128873,11975,1
--no-peephole,polkadot-coretime-polkadot_runtime-v2002002,13009179,13471,10126518,11974,1
--no-peephole,polkadot-encointer-kusama_runtime-v2002002,15729251,15978,12485285,14203,1
--no-peephole,polkadot-glutton-kusama_runtime-v2002002,6402647,6236,4600277,5543,1
