name,source,jam_size,gas_used,run_status,compile_ok
add,tests/fixtures/wat/add.jam.wat,160,27,ok,1
fibonacci,tests/fixtures/wat/fibonacci.jam.wat,221,429,ok,1
factorial,tests/fixtures/wat/factorial.jam.wat,200,185,ok,1
is-prime,tests/fixtures/wat/is-prime.jam.wat,271,61,ok,1
regalloc-two-loops,tests/fixtures/wat/regalloc-two-loops.jam.wat,561,34073,ok,1
blake2b,tests/fixtures/wat/blake2b.jam.wat,3765,14819,ok,1
sha512,tests/fixtures/wat/sha512.jam.wat,3511,14459,ok,1
sha512-240a,tests/fixtures/wat/sha512.jam.wat,3511,43111,ok,1
u128-mul-bench,tests/fixtures/wat/u128-mul-bench.jam.wat,457,71031,ok,1
u128-div-bench,tests/fixtures/wat/u128-div-bench.jam.wat,765,68031,ok,1
u128-div-bench-slow,tests/fixtures/wat/u128-div-bench-slow.jam.wat,771,129031,ok,1
host-call-log,tests/fixtures/wat/host-call-log.jam.wat,458,40,ok,1
as-fibonacci,tests/build/wasm/fibonacci.wasm,613,256,ok,1
as-factorial,tests/build/wasm/factorial.wasm,603,221,ok,1
as-gcd,tests/build/wasm/gcd.wasm,609,163,ok,1
as-decoder-test,tests/build/wasm/decoder-test.wasm,6523,912,ok,1
as-array-test,tests/build/wasm/array-test.wasm,5923,779,ok,1
aslan-fib,tests/fixtures/wat/aslan-fib.jam.wat,19831,10431,ok,1
aslan-ecalli,tests/fixtures/wat/aslan-ecalli.jam.wat,42350,100000000,ok,1
