flag,input,baseline_jam,delta_jam,baseline_gas,delta_gas,compile_ok,run_status
--no-peephole,add,160,0,27,0,1,ok
--no-peephole,fibonacci,221,0,429,0,1,ok
--no-peephole,factorial,200,0,185,0,1,ok
--no-peephole,is-prime,271,0,61,0,1,ok
--no-peephole,regalloc-two-loops,561,0,34073,0,1,ok
--no-peephole,blake2b,3765,0,14819,0,1,ok
--no-peephole,sha512,3511,1,14459,1,1,ok
--no-peephole,sha512-240a,3511,1,43111,0,1,ok
--no-peephole,u128-mul-bench,457,0,71031,0,1,ok
--no-peephole,u128-div-bench,765,0,68031,0,1,ok
--no-peephole,u128-div-bench-slow,771,0,129031,0,1,ok
--no-peephole,host-call-log,458,0,40,0,1,ok
--no-peephole,as-fibonacci,613,0,256,0,1,ok
--no-peephole,as-factorial,603,0,221,0,1,ok
--no-peephole,as-gcd,609,0,163,0,1,ok
--no-peephole,as-decoder-test,6523,0,912,0,1,ok
--no-peephole,as-array-test,5923,0,779,0,1,ok
--no-peephole,aslan-fib,19831,1,10431,0,1,ok
--no-peephole,aslan-ecalli,42350,1,100000000,0,1,ok
--no-register-cache,add,160,4,27,1,1,ok
--no-register-cache,fibonacci,221,36,429,163,1,ok
--no-register-cache,factorial,200,32,185,64,1,ok
--no-register-cache,is-prime,271,17,61,4,1,ok
--no-register-cache,regalloc-two-loops,561,180,34073,17008,1,ok
--no-register-cache,blake2b,3765,649,14819,5413,1,ok
--no-register-cache,sha512,3511,706,14459,7496,1,ok
--no-register-cache,sha512-240a,3511,706,43111,22421,1,ok
--no-register-cache,u128-mul-bench,457,14,71031,4000,1,ok
--no-register-cache,u128-div-bench,765,79,68031,6000,1,ok
--no-register-cache,u128-div-bench-slow,771,79,129031,15000,1,ok
--no-register-cache,host-call-log,458,0,40,0,1,ok
--no-register-cache,as-fibonacci,613,135,256,90,1,ok
--no-register-cache,as-factorial,603,126,221,62,1,ok
--no-register-cache,as-gcd,609,133,163,42,1,ok
--no-register-cache,as-decoder-test,6523,1187,912,53,1,ok
--no-register-cache,as-array-test,5923,995,779,67,1,ok
--no-register-cache,aslan-fib,19831,3647,10431,2678,1,ok
--no-register-cache,aslan-ecalli,42350,5810,100000000,0,1,ok
--no-icmp-fusion,add,160,0,27,0,1,ok
--no-icmp-fusion,fibonacci,221,4,429,21,1,ok
--no-icmp-fusion,factorial,200,5,185,11,1,ok
--no-icmp-fusion,is-prime,271,12,61,8,1,ok
--no-icmp-fusion,regalloc-two-loops,561,7,34073,1002,1,ok
--no-icmp-fusion,blake2b,3765,16,14819,26,1,ok
--no-icmp-fusion,sha512,3511,29,14459,171,1,ok
--no-icmp-fusion,sha512-240a,3511,29,43111,500,1,ok
--no-icmp-fusion,u128-mul-bench,457,9,71031,3003,1,ok
--no-icmp-fusion,u128-div-bench,765,18,68031,6003,1,ok
--no-icmp-fusion,u128-div-bench-slow,771,18,129031,6003,1,ok
--no-icmp-fusion,host-call-log,458,0,40,0,1,ok
--no-icmp-fusion,as-fibonacci,613,15,256,15,1,ok
--no-icmp-fusion,as-factorial,603,16,221,12,1,ok
--no-icmp-fusion,as-gcd,609,21,163,19,1,ok
--no-icmp-fusion,as-decoder-test,6523,80,912,14,1,ok
--no-icmp-fusion,as-array-test,5923,71,779,17,1,ok
--no-icmp-fusion,aslan-fib,19831,438,10431,749,1,ok
--no-icmp-fusion,aslan-ecalli,42350,874,100000000,0,1,ok
--no-shrink-wrap,add,160,0,27,0,1,ok
--no-shrink-wrap,fibonacci,221,0,429,0,1,ok
--no-shrink-wrap,factorial,200,0,185,0,1,ok
--no-shrink-wrap,is-prime,271,0,61,0,1,ok
--no-shrink-wrap,regalloc-two-loops,561,0,34073,0,1,ok
--no-shrink-wrap,blake2b,3765,2,14819,0,1,ok
--no-shrink-wrap,sha512,3511,5,14459,0,1,ok
--no-shrink-wrap,sha512-240a,3511,5,43111,0,1,ok
--no-shrink-wrap,u128-mul-bench,457,2,71031,0,1,ok
--no-shrink-wrap,u128-div-bench,765,5,68031,0,1,ok
--no-shrink-wrap,u128-div-bench-slow,771,5,129031,0,1,ok
--no-shrink-wrap,host-call-log,458,0,40,0,1,ok
--no-shrink-wrap,as-fibonacci,613,31,256,8,1,ok
--no-shrink-wrap,as-factorial,603,31,221,8,1,ok
--no-shrink-wrap,as-gcd,609,30,163,8,1,ok
--no-shrink-wrap,as-decoder-test,6523,33,912,8,1,ok
--no-shrink-wrap,as-array-test,5923,32,779,8,1,ok
--no-shrink-wrap,aslan-fib,19831,1,10431,0,1,ok
--no-shrink-wrap,aslan-ecalli,42350,53,100000000,-99993509,1,ok
--no-dead-store-elim,add,160,34,27,10,1,ok
--no-dead-store-elim,fibonacci,221,30,429,124,1,ok
--no-dead-store-elim,factorial,200,26,185,54,1,ok
--no-dead-store-elim,is-prime,271,45,61,14,1,ok
--no-dead-store-elim,regalloc-two-loops,561,70,34073,6506,1,ok
--no-dead-store-elim,blake2b,3765,437,14819,3226,1,ok
--no-dead-store-elim,sha512,3511,508,14459,4144,1,ok
--no-dead-store-elim,sha512-240a,3511,508,43111,12394,1,ok
--no-dead-store-elim,u128-mul-bench,457,45,71031,9003,1,ok
--no-dead-store-elim,u128-div-bench,765,86,68031,8003,1,ok
--no-dead-store-elim,u128-div-bench-slow,771,86,129031,17003,1,ok
--no-dead-store-elim,host-call-log,458,17,40,5,1,ok
--no-dead-store-elim,as-fibonacci,613,79,256,43,1,ok
